filepath,label
sample_images/2064004681.jpg,ADVE
sample_images/522934065+-4065.jpg,ADVE
sample_images/528679489+-9489.jpg,Email
sample_images/2505225305a.jpg,Email
sample_images/2025827751.jpg,Form
sample_images/2067560112.jpg,Form
sample_images/507407645.jpg,Letter
sample_images/50093420-3421.jpg,Letter
sample_images/0000347162.jpg,Memo
sample_images/2051083199.jpg,Memo
sample_images/2010030882.jpg,News
sample_images/89685528.jpg,News
sample_images/2063710424.jpg,Note
sample_images/2082206330.jpg,Note
sample_images/60033390_60033392.jpg,Report
sample_images/tim00404.83_tim00404.84.jpg,Report
sample_images/50549883-9884.jpg,Resume
sample_images/50387716-7716.jpg,Resume
sample_images/2055054537.jpg,Scientific
sample_images/2501008232.jpg,Scientific
